Wife's age,Wife's education,Husband's education,Number of children ever born,Wife's religion,Wife's now working?,Husband's occupation,Standard-of-living index,Media exposure,Contraceptive method used
19,University,University,1,Islam,No,Area 2,High,Good,Short-term
29,High School,Intermediate,5,Islam,No,Area 2,High,Good,Short-term
21,Intermediate,University,2,Islam,No,Area 3,Considerable,Good,Short-term
21,Intermediate,Intermediate,1,Islam,No,Area 3,Considerable,Good,Short-term
41,Primary,University,9,Islam,No,Area 2,Low,Good,Short-term
37,High School,University,3,Islam,No,Area 2,Considerable,Good,Short-term
27,University,University,3,Islam,No,Area 3,High,Not good,Short-term
26,High School,Intermediate,2,Islam,No,Area 2,Considerable,Good,Short-term
37,University,University,6,Islam,Yes,Area 3,High,Good,Short-term
25,Intermediate,Intermediate,3,Islam,No,Area 2,Low,Good,Short-term
32,University,Intermediate,3,Islam,No,Area 2,High,Good,Short-term
34,Primary,University,4,Islam,No,Area 3,High,Not good,Short-term
23,University,University,2,Islam,Yes,Area 2,High,Good,Short-term
28,Intermediate,University,2,Islam,No,Area 3,High,Good,Short-term
24,Intermediate,University,1,Islam,No,Area 3,High,Good,Short-term
32,High School,Intermediate,4,Islam,Yes,Area 2,Moderate,Good,Short-term
22,Primary,High School,3,Islam,No,Area 3,Low,Not good,Short-term
25,Intermediate,Intermediate,1,Islam,No,Area 2,Low,Good,Short-term
25,High School,Intermediate,2,Islam,No,Area 2,High,Good,Short-term
38,High School,Intermediate,3,Islam,No,Area 2,High,Good,Short-term
33,High School,High School,2,Islam,No,Area 3,High,Good,Short-term
41,University,University,8,Islam,No,Area 1,High,Good,Short-term
29,Intermediate,Intermediate,4,Islam,No,Area 3,High,Good,Short-term
22,Intermediate,University,1,Islam,Yes,Area 1,High,Good,Short-term
29,Intermediate,Intermediate,6,Islam,No,Area 3,Considerable,Good,Short-term
26,Intermediate,University,3,Islam,No,Area 3,Considerable,Good,Short-term
28,High School,Intermediate,3,Islam,No,Area 3,High,Good,Short-term
27,University,University,1,Non-Islam,No,Area 3,High,Good,Short-term
29,High School,University,2,Islam,No,Area 3,Moderate,Good,Short-term
24,Intermediate,University,2,Islam,No,Area 3,Considerable,Good,Short-term
29,Intermediate,University,3,Islam,No,Area 3,Moderate,Good,Short-term
38,Intermediate,University,7,Islam,No,Area 3,Moderate,Good,Short-term
23,Intermediate,High School,2,Islam,Yes,Area 3,Moderate,Good,Short-term
20,University,Intermediate,1,Islam,No,Area 3,High,Good,Short-term
32,Primary,University,4,Islam,No,Area 3,Moderate,Good,Short-term
25,High School,Intermediate,2,Islam,No,Area 3,Low,Good,Short-term
26,Primary,High School,3,Islam,Yes,Area 3,Moderate,Good,Short-term
23,Primary,High School,3,Islam,No,Area 3,Moderate,Not good,Short-term
23,University,University,3,Islam,No,Area 3,Considerable,Good,Short-term
28,Intermediate,University,5,Islam,No,Area 2,High,Good,Short-term
22,University,University,3,Islam,No,Area 3,Moderate,Good,Short-term
28,High School,University,4,Islam,No,Area 3,High,Good,Short-term
26,Intermediate,Intermediate,3,Islam,No,Area 3,Considerable,Good,Short-term
26,High School,Intermediate,2,Islam,No,Area 3,Considerable,Good,Short-term
24,University,Intermediate,3,Islam,No,Area 3,Considerable,Good,Short-term
29,University,University,3,Islam,Yes,Area 1,High,Good,Short-term
29,Intermediate,University,4,Islam,Yes,Area 1,Considerable,Good,Short-term
42,University,University,5,Islam,No,Area 1,High,Good,Short-term
27,University,University,2,Islam,No,Area 3,High,Good,Short-term
35,Intermediate,University,5,Islam,No,Area 1,High,Good,Short-term
21,Intermediate,University,1,Islam,No,Area 3,Moderate,Good,Short-term
21,Primary,Intermediate,1,Islam,No,Area 3,Considerable,Not good,Short-term
22,Intermediate,University,1,Islam,No,Area 3,Considerable,Good,Short-term
28,Intermediate,Intermediate,4,Islam,No,Area 3,Considerable,Good,Short-term
22,Intermediate,University,1,Non-Islam,Yes,Area 1,High,Good,Short-term
23,Intermediate,High School,1,Islam,No,Area 3,Considerable,Good,Short-term
28,Intermediate,Intermediate,2,Non-Islam,No,Area 2,Considerable,Good,Short-term
30,University,University,3,Non-Islam,Yes,Area 2,High,Good,Short-term
25,Intermediate,University,3,Islam,Yes,Area 3,High,Good,Short-term
33,University,University,4,Islam,No,Area 2,Considerable,Good,Short-term
33,Intermediate,University,6,Islam,No,Area 3,Moderate,Good,Short-term
30,University,University,2,Non-Islam,Yes,Area 3,Considerable,Good,Short-term
22,High School,University,1,Islam,No,Area 3,Considerable,Good,Short-term
38,Intermediate,Intermediate,2,Non-Islam,No,Area 3,High,Good,Short-term
35,University,Intermediate,2,Non-Islam,No,Area 3,High,Good,Short-term
34,High School,High School,4,Non-Islam,No,Area 3,Moderate,Good,Short-term
39,University,University,2,Non-Islam,No,Area 3,High,Good,Short-term
47,University,Intermediate,4,Islam,No,Area 1,Considerable,Good,Short-term
38,University,University,2,Islam,Yes,Area 1,High,Good,Short-term
43,University,University,5,Islam,No,Area 1,High,Good,Short-term
21,Intermediate,Intermediate,1,Islam,No,Area 2,Moderate,Good,Short-term
30,Intermediate,University,2,Islam,No,Area 1,Moderate,Good,Short-term
27,Intermediate,University,2,Islam,No,Area 1,Considerable,Good,Short-term
22,University,University,1,Non-Islam,No,Area 3,Low,Good,Short-term
25,Primary,High School,3,Islam,No,Area 2,Considerable,Good,Short-term
22,Primary,Intermediate,2,Islam,No,Area 3,Moderate,Good,Short-term
28,University,University,4,Islam,No,Area 2,Considerable,Good,Short-term
25,Intermediate,Intermediate,2,Islam,No,Area 2,Considerable,Good,Short-term
26,University,University,2,Islam,Yes,Area 3,Considerable,Good,Short-term
31,Intermediate,Intermediate,3,Islam,No,Area 3,Low,Not good,Short-term
32,Primary,Intermediate,4,Islam,No,Area 3,Considerable,Good,Short-term
35,High School,University,6,Islam,No,Area 3,High,Good,Short-term
24,High School,Intermediate,5,Islam,No,Area 3,Considerable,Good,Short-term
28,University,University,2,Islam,No,Area 1,High,Good,Short-term
36,University,University,3,Non-Islam,Yes,Area 2,High,Good,Short-term
47,University,University,5,Islam,No,Area 1,Considerable,Good,Short-term
26,University,University,2,Islam,Yes,Area 1,High,Good,Short-term
22,Intermediate,University,2,Non-Islam,No,Area 3,High,Good,Short-term
30,University,University,2,Islam,No,Area 4,Considerable,Good,Short-term
41,University,University,5,Islam,No,Area 1,High,Good,Short-term
19,University,University,1,Islam,No,Area 3,Moderate,Good,Short-term
45,Intermediate,University,2,Non-Islam,No,Area 3,Considerable,Good,Short-term
35,Primary,High School,5,Islam,No,Area 2,Moderate,Not good,Short-term
21,High School,High School,1,Islam,No,Area 3,Moderate,Good,Short-term
32,Primary,High School,6,Non-Islam,No,Area 2,Considerable,Good,Short-term
32,Intermediate,University,5,Non-Islam,No,Area 3,High,Good,Short-term
46,High School,Intermediate,6,Non-Islam,Yes,Area 3,High,Good,Short-term
41,Primary,High School,6,Islam,No,Area 3,Considerable,Good,Short-term
36,University,University,3,Non-Islam,No,Area 3,High,Good,Short-term
37,Intermediate,University,3,Non-Islam,No,Area 3,High,Good,Short-term
37,Intermediate,University,4,Non-Islam,No,Area 2,High,Good,Short-term
35,University,University,3,Non-Islam,No,Area 3,High,Good,Short-term
29,High School,Intermediate,4,Islam,No,Area 3,Moderate,Good,Short-term
28,University,University,2,Non-Islam,No,Area 2,High,Good,Short-term
46,University,University,4,Non-Islam,No,Area 1,High,Good,Short-term
34,University,Intermediate,3,Non-Islam,No,Area 2,High,Good,Short-term
43,Intermediate,Intermediate,2,Non-Islam,Yes,Area 3,High,Good,Short-term
28,University,University,3,Non-Islam,Yes,Area 3,High,Good,Short-term
28,Intermediate,Intermediate,3,Islam,Yes,Area 2,High,Good,Short-term
34,University,University,6,Islam,No,Area 2,Moderate,Good,Short-term
27,High School,University,4,Islam,No,Area 3,High,Good,Short-term
36,Primary,Intermediate,6,Islam,No,Area 3,Moderate,Good,Short-term
17,High School,High School,0,Islam,Yes,Area 3,Moderate,Good,Short-term
21,Intermediate,Intermediate,1,Islam,No,Area 3,Moderate,Good,Short-term
25,High School,High School,1,Islam,No,Area 3,Low,Good,Short-term
23,High School,Intermediate,2,Islam,Yes,Area 3,Moderate,Good,Short-term
25,High School,High School,1,Islam,No,Area 3,Considerable,Good,Short-term
35,Primary,High School,4,Islam,Yes,Area 4,High,Good,Short-term
32,Intermediate,University,4,Islam,No,Area 3,Moderate,Good,Short-term
37,High School,Intermediate,5,Islam,No,Area 4,Moderate,Good,Short-term
31,Intermediate,University,4,Islam,Yes,Area 3,Considerable,Good,Short-term
25,Intermediate,University,3,Islam,No,Area 3,High,Good,Short-term
26,Intermediate,University,4,Islam,No,Area 2,High,Good,Short-term
39,Primary,High School,2,Islam,Yes,Area 2,High,Good,Short-term
21,Intermediate,Intermediate,2,Islam,No,Area 2,Considerable,Good,Short-term
35,Intermediate,High School,9,Islam,Yes,Area 3,High,Good,Short-term
20,High School,High School,1,Islam,No,Area 3,Moderate,Good,Short-term
40,High School,Intermediate,5,Islam,No,Area 3,Considerable,Good,Short-term
41,Intermediate,Intermediate,7,Non-Islam,No,Area 2,High,Good,Short-term
36,High School,University,8,Islam,No,Area 1,High,Good,Short-term
40,High School,University,3,Non-Islam,No,Area 3,High,Good,Short-term
32,University,University,3,Islam,Yes,Area 1,High,Good,Short-term
24,Intermediate,University,4,Islam,No,Area 2,Considerable,Good,Short-term
20,Intermediate,University,1,Non-Islam,No,Area 2,High,Good,Short-term
32,University,University,4,Islam,Yes,Area 1,High,Good,Short-term
22,High School,High School,3,Islam,Yes,Area 3,Considerable,Good,Short-term
30,Intermediate,Intermediate,4,Islam,Yes,Area 2,Moderate,Good,Short-term
31,University,University,3,Islam,Yes,Area 1,High,Good,Short-term
35,Intermediate,University,5,Islam,No,Area 1,High,Good,Short-term
38,University,University,2,Islam,No,Area 3,High,Good,Short-term
31,University,University,1,Islam,No,Area 1,High,Good,Short-term
25,University,University,2,Islam,No,Area 2,High,Good,Short-term
30,University,University,2,Islam,No,Area 1,High,Good,Short-term
22,Primary,High School,2,Islam,No,Area 3,High,Good,Short-term
31,University,University,3,Islam,No,Area 1,High,Good,Short-term
29,University,University,3,Islam,No,Area 3,High,Good,Short-term
29,High School,Intermediate,3,Islam,Yes,Area 3,Moderate,Good,Short-term
38,University,University,3,Non-Islam,Yes,Area 3,Considerable,Not good,Short-term
22,Intermediate,University,2,Islam,No,Area 2,High,Good,Short-term
45,University,University,3,Islam,No,Area 1,High,Good,Short-term
26,Intermediate,University,3,Islam,No,Area 3,Moderate,Good,Short-term
37,University,University,3,Non-Islam,No,Area 3,High,Good,Short-term
36,University,University,3,Non-Islam,No,Area 2,High,Good,Short-term
33,University,University,2,Islam,No,Area 2,High,Good,Short-term
32,University,University,3,Islam,Yes,Area 1,High,Good,Short-term
35,University,University,4,Non-Islam,Yes,Area 1,High,Good,Short-term
25,University,University,1,Islam,No,Area 1,High,Good,Short-term
31,University,University,3,Islam,No,Area 4,High,Good,Short-term
25,High School,Intermediate,5,Islam,No,Area 2,Considerable,Good,Short-term
26,Intermediate,High School,5,Islam,No,Area 2,Moderate,Good,Short-term
23,High School,Intermediate,3,Islam,No,Area 2,Considerable,Good,Short-term
28,Intermediate,University,3,Islam,No,Area 1,High,Good,Short-term
34,Intermediate,University,3,Non-Islam,Yes,Area 3,High,Good,Short-term
46,Intermediate,University,9,Islam,No,Area 3,High,Good,Short-term
25,University,University,1,Islam,No,Area 1,High,Good,Short-term
21,High School,Primary,3,Islam,Yes,Area 3,Low,Not good,Short-term
25,High School,Intermediate,4,Islam,Yes,Area 3,Moderate,Good,Short-term
28,High School,Intermediate,6,Islam,No,Area 2,High,Good,Short-term
36,High School,University,11,Islam,No,Area 1,High,Not good,Short-term
46,Primary,High School,9,Islam,Yes,Area 3,High,Not good,Short-term
35,High School,High School,6,Islam,Yes,Area 3,Low,Not good,No-use
41,Intermediate,High School,11,Islam,No,Area 2,Considerable,Good,No-use
27,High School,University,1,Islam,Yes,Area 1,Low,Good,No-use
25,University,University,0,Islam,Yes,Area 3,High,Good,No-use
23,High School,High School,2,Islam,No,Area 3,Considerable,Good,No-use
48,Primary,Primary,1,Islam,Yes,Area 3,Considerable,Not good,No-use
23,University,University,0,Islam,Yes,Area 1,High,Good,No-use
31,Intermediate,University,2,Islam,No,Area 3,Considerable,Good,No-use
49,University,University,1,Islam,No,Area 3,High,Good,No-use
42,High School,Intermediate,2,Islam,No,Area 1,High,Good,No-use
26,High School,University,3,Islam,No,Area 3,High,Good,No-use
21,High School,High School,1,Islam,No,Area 3,Moderate,Good,No-use
29,Intermediate,University,4,Islam,No,Area 1,High,Good,No-use
38,Primary,High School,12,Islam,No,Area 2,Considerable,Good,No-use
25,University,University,2,Islam,No,Area 3,Moderate,Good,No-use
22,University,University,0,Islam,No,Area 3,Moderate,Good,No-use
20,Intermediate,University,0,Islam,No,Area 3,Considerable,Good,No-use
35,University,University,1,Islam,No,Area 1,Considerable,Good,No-use
32,High School,Intermediate,1,Islam,No,Area 3,Considerable,Good,No-use
38,High School,University,3,Islam,No,Area 1,Considerable,Good,No-use
27,Primary,High School,4,Islam,No,Area 1,High,Not good,No-use
41,High School,University,1,Islam,No,Area 2,Considerable,Good,No-use
28,Intermediate,University,0,Islam,Yes,Area 1,Considerable,Good,No-use
23,University,University,1,Islam,Yes,Area 3,Considerable,Good,No-use
27,University,University,1,Non-Islam,Yes,Area 2,High,Good,No-use
33,University,University,2,Non-Islam,No,Area 1,High,Good,No-use
39,High School,High School,5,Islam,Yes,Area 3,Moderate,Not good,No-use
41,High School,High School,5,Non-Islam,No,Area 2,Moderate,Good,No-use
40,High School,High School,8,Islam,No,Area 1,Considerable,Good,No-use
43,Intermediate,University,10,Islam,No,Area 3,Considerable,Good,No-use
35,Intermediate,University,6,Islam,Yes,Area 2,Moderate,Good,No-use
32,Intermediate,University,0,Islam,No,Area 3,High,Good,No-use
49,High School,Intermediate,4,Islam,No,Area 2,Considerable,Good,No-use
47,High School,High School,4,Islam,No,Area 3,Low,Good,No-use
42,University,University,1,Islam,No,Area 2,High,Good,No-use
48,University,University,4,Non-Islam,No,Area 1,High,Good,No-use
42,University,University,3,Islam,No,Area 1,High,Good,No-use
37,University,University,2,Islam,No,Area 1,High,Good,No-use
23,Intermediate,Intermediate,1,Islam,Yes,Area 2,High,Good,No-use
24,Intermediate,University,0,Islam,Yes,Area 2,Considerable,Good,No-use
43,High School,Intermediate,3,Non-Islam,No,Area 2,Considerable,Good,No-use
24,Intermediate,Intermediate,2,Islam,Yes,Area 3,Moderate,Good,No-use
29,High School,University,0,Islam,Yes,Area 3,High,Good,No-use
45,Primary,Primary,0,Non-Islam,Yes,Area 2,Low,Good,No-use
31,University,University,3,Islam,Yes,Area 2,Considerable,Good,No-use
44,Primary,University,9,Islam,No,Area 1,Moderate,Good,No-use
28,High School,Intermediate,1,Islam,No,Area 3,Low,Good,No-use
28,Intermediate,University,1,Non-Islam,No,Area 2,Moderate,Good,No-use
33,Primary,High School,0,Islam,Yes,Area 3,Considerable,Good,No-use
43,University,University,6,Islam,No,Area 1,Considerable,Good,No-use
34,Intermediate,University,4,Islam,No,Area 1,Considerable,Good,No-use
36,Primary,University,2,Islam,No,Area 2,Moderate,Good,No-use
22,University,University,0,Islam,Yes,Area 2,High,Good,No-use
35,High School,Intermediate,8,Islam,No,Area 3,Considerable,Not good,No-use
25,University,University,1,Islam,No,Area 1,High,Good,No-use
43,Primary,High School,8,Islam,No,Area 2,Moderate,Not good,No-use
46,Primary,University,8,Islam,No,Area 1,High,Not good,No-use
27,Intermediate,University,2,Islam,No,Area 1,Considerable,Good,No-use
30,Primary,Primary,7,Islam,No,Area 2,Considerable,Good,No-use
25,University,University,1,Islam,No,Area 3,High,Good,No-use
42,University,University,1,Islam,Yes,Area 1,High,Good,No-use
30,Primary,Intermediate,1,Islam,No,Area 3,High,Good,No-use
27,Intermediate,Intermediate,4,Islam,No,Area 2,High,Good,No-use
45,High School,Intermediate,11,Islam,No,Area 2,Considerable,Good,No-use
29,Intermediate,University,2,Islam,No,Area 1,Considerable,Good,No-use
36,Primary,University,1,Islam,No,Area 3,Considerable,Good,No-use
49,Primary,High School,8,Islam,No,Area 3,Low,Not good,No-use
47,Primary,University,7,Islam,No,Area 2,Considerable,Good,No-use
30,University,University,4,Islam,No,Area 2,High,Good,No-use
24,High School,Intermediate,2,Islam,No,Area 3,Low,Good,No-use
48,Primary,Primary,6,Islam,No,Area 2,Considerable,Not good,No-use
47,Primary,High School,2,Islam,No,Area 2,Considerable,Not good,No-use
24,Intermediate,University,1,Islam,Yes,Area 3,Considerable,Good,No-use
48,Intermediate,University,5,Islam,No,Area 2,Considerable,Good,No-use
38,Primary,High School,8,Islam,No,Area 3,Considerable,Not good,No-use
45,Intermediate,University,0,Islam,No,Area 1,Considerable,Good,No-use
43,University,University,3,Non-Islam,No,Area 2,High,Good,No-use
33,Primary,Primary,5,Islam,No,Area 3,Low,Not good,No-use
37,Intermediate,University,7,Islam,No,Area 3,High,Good,No-use
36,High School,Primary,6,Islam,No,Area 2,Considerable,Good,No-use
25,Intermediate,University,3,Islam,No,Area 1,Low,Good,No-use
49,University,University,6,Non-Islam,Yes,Area 1,High,Good,No-use
30,University,University,1,Islam,Yes,Area 1,High,Good,No-use
35,University,University,5,Islam,No,Area 1,High,Good,No-use
28,High School,University,0,Islam,No,Area 3,Low,Good,No-use
30,University,High School,0,Islam,Yes,Area 3,Considerable,Good,No-use
27,University,University,2,Islam,Yes,Area 1,High,Good,No-use
45,High School,University,8,Islam,No,Area 2,Considerable,Good,No-use
46,Intermediate,Primary,5,Islam,No,Area 3,Moderate,Good,No-use
28,Primary,University,0,Islam,Yes,Area 4,Low,Good,No-use
21,High School,University,0,Islam,No,Area 2,Moderate,Good,No-use
20,Intermediate,University,2,Islam,No,Area 3,Considerable,Good,No-use
28,Intermediate,Intermediate,5,Islam,No,Area 3,Considerable,Good,No-use
25,Intermediate,Intermediate,1,Islam,No,Area 2,Moderate,Good,No-use
38,Primary,High School,6,Islam,No,Area 2,Low,Not good,No-use
20,Intermediate,University,1,Islam,No,Area 3,Moderate,Good,No-use
24,Intermediate,University,2,Islam,No,Area 2,High,Good,No-use
39,Intermediate,Primary,1,Islam,No,Area 2,Considerable,Good,No-use
25,Primary,Intermediate,1,Islam,No,Area 4,Moderate,Good,No-use
23,Intermediate,University,4,Islam,No,Area 3,Low,Not good,No-use
24,University,University,1,Islam,Yes,Area 1,Considerable,Good,No-use
26,University,University,3,Islam,No,Area 1,High,Good,No-use
20,Intermediate,University,2,Islam,No,Area 3,Moderate,Good,No-use
31,Intermediate,Intermediate,1,Islam,Yes,Area 3,High,Good,No-use
22,University,University,0,Islam,No,Area 2,Low,Not good,No-use
36,High School,Intermediate,6,Islam,No,Area 2,Considerable,Good,No-use
45,Intermediate,University,0,Islam,No,Area 1,Considerable,Good,No-use
47,High School,High School,7,Islam,No,Area 2,Moderate,Good,No-use
30,High School,Intermediate,1,Islam,No,Area 2,Low,Good,No-use
35,University,University,3,Islam,No,Area 1,High,Good,No-use
34,High School,High School,9,Islam,Yes,Area 2,Considerable,Good,No-use
28,University,University,1,Islam,Yes,Area 1,Considerable,Good,No-use
18,Intermediate,University,1,Islam,No,Area 3,Considerable,Good,No-use
25,High School,Intermediate,2,Islam,No,Area 3,Moderate,Good,No-use
27,Intermediate,University,0,Islam,Yes,Area 3,Considerable,Good,No-use
21,University,University,1,Islam,No,Area 3,High,Good,No-use
19,University,University,1,Islam,No,Area 1,Considerable,Good,No-use
26,University,University,0,Islam,No,Area 3,High,Good,No-use
28,University,University,5,Islam,No,Area 1,High,Good,No-use
38,Primary,Intermediate,4,Islam,Yes,Area 2,Moderate,Good,No-use
39,High School,Intermediate,10,Islam,No,Area 3,High,Good,No-use
45,High School,Intermediate,6,Islam,No,Area 3,Moderate,Not good,No-use
30,Intermediate,University,4,Non-Islam,No,Area 2,Considerable,Good,No-use
47,High School,University,2,Islam,No,Area 3,Moderate,Not good,No-use
38,High School,High School,6,Islam,No,Area 3,High,Good,No-use
42,Intermediate,Intermediate,5,Islam,No,Area 2,Moderate,Good,No-use
31,University,University,2,Islam,No,Area 1,Moderate,Good,No-use
44,Primary,High School,2,Islam,No,Area 3,Low,Good,No-use
42,University,University,3,Islam,Yes,Area 1,High,Good,No-use
28,University,University,2,Islam,No,Area 1,Considerable,Good,No-use
34,High School,University,6,Islam,Yes,Area 3,High,Good,No-use
45,Primary,Intermediate,7,Islam,Yes,Area 1,Considerable,Good,No-use
43,University,University,5,Islam,No,Area 1,Considerable,Good,No-use
28,Intermediate,University,0,Islam,Yes,Area 3,High,Good,No-use
27,Intermediate,University,0,Islam,No,Area 3,Considerable,Good,No-use
26,High School,Intermediate,1,Islam,Yes,Area 4,High,Good,No-use
26,Intermediate,University,1,Non-Islam,No,Area 2,Moderate,Good,No-use
37,Intermediate,University,4,Islam,Yes,Area 2,High,Good,No-use
48,Intermediate,University,11,Islam,No,Area 1,High,Good,No-use
47,High School,Intermediate,12,Islam,No,Area 3,Low,Good,No-use
22,High School,University,1,Islam,No,Area 3,High,Good,No-use
48,University,University,1,Non-Islam,No,Area 1,High,Good,No-use
42,Primary,Intermediate,12,Islam,No,Area 2,High,Good,No-use
32,University,University,3,Islam,No,Area 1,High,Good,No-use
33,University,University,3,Non-Islam,Yes,Area 1,Considerable,Good,No-use
45,University,University,1,Islam,Yes,Area 1,High,Good,No-use
26,High School,Intermediate,1,Islam,Yes,Area 3,High,Not good,No-use
45,University,University,1,Islam,No,Area 1,High,Good,No-use
25,Intermediate,Intermediate,1,Islam,Yes,Area 2,High,Good,No-use
36,University,Intermediate,3,Islam,Yes,Area 3,Moderate,Good,No-use
31,Intermediate,Intermediate,2,Islam,Yes,Area 3,Considerable,Good,No-use
22,Intermediate,University,2,Islam,No,Area 3,Considerable,Good,No-use
46,University,University,10,Islam,No,Area 1,Considerable,Good,No-use
26,High School,Intermediate,3,Islam,No,Area 3,High,Good,No-use
25,Intermediate,High School,1,Islam,Yes,Area 3,Considerable,Good,No-use
20,University,University,0,Non-Islam,Yes,Area 2,High,Good,No-use
31,Intermediate,University,3,Non-Islam,Yes,Area 2,High,Good,No-use
36,Intermediate,Intermediate,3,Non-Islam,Yes,Area 2,Considerable,Not good,No-use
47,Intermediate,High School,5,Islam,No,Area 4,High,Good,No-use
43,Intermediate,University,2,Non-Islam,No,Area 3,High,Good,No-use
20,Intermediate,University,0,Islam,No,Area 3,Considerable,Good,No-use
24,University,University,4,Islam,No,Area 1,High,Good,No-use
33,High School,High School,3,Non-Islam,Yes,Area 2,High,Good,No-use
41,Intermediate,University,3,Non-Islam,No,Area 2,High,Good,No-use
48,Intermediate,University,4,Non-Islam,No,Area 2,High,Good,No-use
32,University,University,1,Non-Islam,No,Area 1,High,Good,No-use
38,Intermediate,Intermediate,4,Non-Islam,Yes,Area 3,Moderate,Not good,No-use
48,Intermediate,University,8,Islam,No,Area 3,Considerable,Good,No-use
34,Primary,Intermediate,4,Islam,Yes,Area 3,High,Good,No-use
31,Primary,Primary,6,Islam,No,Area 3,Moderate,Good,No-use
46,Primary,High School,7,Islam,No,Area 3,Low,Not good,No-use
45,High School,High School,7,Islam,No,Area 3,Low,Not good,No-use
34,Intermediate,University,4,Non-Islam,No,Area 3,Low,Not good,No-use
16,High School,University,1,Islam,No,Area 3,High,Good,No-use
18,Intermediate,High School,1,Islam,No,Area 3,Low,Good,No-use
22,High School,High School,1,Islam,No,Area 3,Low,Not good,No-use
32,High School,High School,2,Islam,No,Area 2,High,Good,No-use
41,Primary,Intermediate,3,Islam,Yes,Area 2,High,Good,No-use
22,Intermediate,Intermediate,2,Islam,No,Area 2,High,Good,No-use
23,Intermediate,High School,0,Islam,No,Area 2,Moderate,Good,No-use
22,Intermediate,University,0,Islam,Yes,Area 3,High,Good,No-use
40,High School,High School,6,Islam,No,Area 2,Moderate,Not good,No-use
29,Intermediate,University,1,Non-Islam,No,Area 2,Considerable,Good,No-use
42,University,University,0,Non-Islam,Yes,Area 3,High,Good,No-use
29,Intermediate,University,2,Islam,No,Area 3,High,Good,No-use
31,Intermediate,High School,1,Islam,No,Area 3,High,Good,No-use
28,University,University,3,Non-Islam,Yes,Area 1,High,Good,No-use
21,High School,Intermediate,0,Islam,No,Area 3,High,Good,No-use
26,University,University,2,Islam,No,Area 1,Considerable,Good,No-use
37,Intermediate,University,0,Islam,No,Area 3,High,Good,No-use
24,Intermediate,University,2,Islam,No,Area 2,Moderate,Good,No-use
25,University,University,0,Non-Islam,No,Area 2,High,Good,No-use
22,High School,Primary,0,Islam,No,Area 2,Moderate,Good,No-use
45,University,University,1,Islam,No,Area 1,High,Good,No-use
47,University,University,1,Islam,No,Area 1,High,Good,No-use
28,University,University,5,Islam,Yes,Area 3,High,Good,No-use
24,High School,High School,4,Islam,No,Area 3,High,Good,No-use
34,Intermediate,Intermediate,6,Islam,No,Area 2,Considerable,Good,No-use
47,High School,Intermediate,5,Islam,No,Area 1,Low,Good,No-use
31,Intermediate,University,2,Islam,No,Area 1,High,Good,No-use
26,Primary,Intermediate,1,Islam,No,Area 3,Low,Good,No-use
25,University,University,3,Islam,No,Area 1,Moderate,Good,No-use
47,Primary,Primary,4,Islam,No,Area 2,Moderate,Good,No-use
48,Primary,Primary,8,Islam,No,Area 1,Low,Not good,No-use
38,High School,High School,10,Islam,No,Area 3,Moderate,Good,No-use
32,Primary,Intermediate,4,Islam,No,Area 2,Moderate,Not good,No-use
47,Primary,High School,2,Islam,No,Area 2,High,Good,No-use
27,University,University,3,Islam,No,Area 1,High,Good,No-use
40,Primary,Primary,0,Islam,No,Area 3,Moderate,Good,No-use
46,University,University,6,Islam,No,Area 1,High,Good,No-use
33,Intermediate,Intermediate,3,Islam,No,Area 3,High,Good,No-use
49,Primary,High School,5,Islam,Yes,Area 2,Moderate,Not good,No-use
21,High School,University,3,Islam,No,Area 3,Moderate,Good,No-use
31,University,University,0,Non-Islam,Yes,Area 2,High,Good,No-use
42,University,University,4,Islam,No,Area 3,High,Good,Long-term
35,University,University,3,Islam,No,Area 1,High,Good,Long-term
31,University,University,4,Islam,No,Area 3,Considerable,Good,Long-term
42,University,University,6,Islam,No,Area 1,Considerable,Good,Long-term
49,Intermediate,University,4,Islam,No,Area 3,High,Good,Long-term
21,University,University,1,Islam,No,Area 1,Considerable,Good,Long-term
28,Intermediate,University,3,Islam,No,Area 1,High,Good,Long-term
22,University,University,1,Islam,No,Area 1,Considerable,Good,Long-term
36,University,University,3,Islam,Yes,Area 1,High,Good,Long-term
45,High School,High School,9,Islam,No,Area 3,Considerable,Good,Long-term
40,University,University,4,Islam,No,Area 1,High,Good,Long-term
30,High School,High School,7,Islam,No,Area 3,High,Good,Long-term
35,University,University,5,Islam,Yes,Area 1,High,Good,Long-term
26,High School,University,2,Islam,No,Area 1,High,Good,Long-term
45,University,University,3,Islam,No,Area 1,High,Good,Long-term
27,Intermediate,Intermediate,2,Islam,No,Area 3,High,Good,Long-term
32,University,University,4,Islam,No,Area 1,Moderate,Good,Long-term
27,University,University,3,Islam,No,Area 1,Considerable,Good,Long-term
28,University,University,2,Non-Islam,No,Area 1,High,Good,Long-term
30,University,University,3,Islam,No,Area 2,Low,Good,Long-term
34,University,University,4,Islam,No,Area 2,High,Good,Long-term
26,Intermediate,University,3,Islam,No,Area 2,Considerable,Good,Long-term
44,Primary,University,2,Islam,No,Area 1,Considerable,Good,Long-term
29,University,University,3,Islam,No,Area 1,High,Good,Long-term
26,Intermediate,University,2,Islam,No,Area 3,Considerable,Good,Long-term
41,University,University,8,Islam,No,Area 1,High,Good,Long-term
32,Intermediate,Intermediate,4,Islam,Yes,Area 3,Considerable,Good,Long-term
